Month,Sales
2013-01,2815
2013-02,2672
2013-03,2755
2013-04,2721
2013-05,2946
2013-06,3036
2013-07,2282
2013-08,2212
2013-09,2922
2013-10,4301
2013-11,5764
2013-12,7312
2014-01,2541
2014-02,2475
2014-03,3031
2014-04,3266
2014-05,3776
2014-06,3230
2014-07,3028
2014-08,1759
2014-09,3595
2014-10,4474
2014-11,6838
2014-12,8357
2015-01,3113
2015-02,3006
2015-03,4047
2015-04,3523
2015-05,3937
2015-06,3986
2015-07,3260
2015-08,1573
2015-09,3528
2015-10,5211
2015-11,7614
2015-12,9254
2016-01,5375
2016-02,3088
2016-03,3718
2016-04,4514
2016-05,4520
2016-06,4539
2016-07,3663
2016-08,1643
2016-09,4739
2016-10,5428
2016-11,8314
2016-12,10651
2017-01,3633
2017-02,4292
2017-03,4154
2017-04,4121
2017-05,4647
2017-06,4753
2017-07,3965
2017-08,1723
2017-09,5048
2017-10,6922
2017-11,9858
2017-12,11331
2018-01,4016
2018-02,3957
2018-03,4510
2018-04,4276
2018-05,4968
2018-06,4677
2018-07,3523
2018-08,1821
2018-09,5222
2018-10,6872
2018-11,10803
2018-12,13916
2019-01,2639
2019-02,2899
2019-03,3370
2019-04,3740
2019-05,2927
2019-06,3986
2019-07,4217
2019-08,1738
2019-09,5221
2019-10,6424
2019-11,9842
2019-12,13076
2020-01,3934
2020-02,3162
2020-03,4286
2020-04,4676
2020-05,5010
2020-06,4874
2020-07,4633
2020-08,1659
2020-09,5951
2020-10,6981
2020-11,9851
2020-12,12670
2021-01,4348
2021-02,3564
2021-03,4577
2021-04,4788
2021-05,4618
2021-06,5312
2021-07,4298
2021-08,1413
2021-09,5877
